weir,stat_week,date,species,count_type,maturity,count,comments
Situk Lower,21,5/20/1991,Steelhead trout,Counted live,Adult,24,
Situk Lower,21,5/20/1991,Steelhead trout,Downstream migration,Adult,4,
Situk Lower,21,5/21/1991,Steelhead trout,Counted live,Adult,21,
Situk Lower,21,5/21/1991,Steelhead trout,Downstream migration,Adult,1,
Situk Lower,21,5/22/1991,Steelhead trout,Carcass count,Adult,1,
Situk Lower,21,5/22/1991,Steelhead trout,Counted live,Adult,60,
Situk Lower,21,5/22/1991,Steelhead trout,Downstream migration,Adult,6,
Situk Lower,21,5/23/1991,Steelhead trout,Counted live,Adult,15,
Situk Lower,21,5/23/1991,Steelhead trout,Downstream migration,Adult,3,
Situk Lower,21,5/24/1991,Steelhead trout,Carcass count,Adult,1,
Situk Lower,21,5/24/1991,Steelhead trout,Counted live,Adult,8,
Situk Lower,21,5/24/1991,Steelhead trout,Downstream migration,Adult,15,
Situk Lower,21,5/25/1991,Steelhead trout,Carcass count,Adult,1,
Situk Lower,21,5/25/1991,Steelhead trout,Counted live,Adult,5,
Situk Lower,21,5/25/1991,Steelhead trout,Downstream migration,Adult,7,
Situk Lower,22,5/26/1991,Steelhead trout,Counted live,Adult,13,
Situk Lower,22,5/26/1991,Steelhead trout,Downstream migration,Adult,8,
Situk Lower,22,5/27/1991,Steelhead trout,Counted live,Adult,4,
Situk Lower,22,5/27/1991,Steelhead trout,Downstream migration,Adult,6,
Situk Lower,22,5/28/1991,Sockeye,Weir closed on this date,Adult,,
Situk Lower,22,5/29/1991,Sockeye,Weir closed on this date,Adult,,
Situk Lower,22,5/30/1991,Sockeye,Weir closed on this date,Adult,,
Situk Lower,22,5/31/1991,Sockeye,Weir closed on this date,Adult,,
Situk Lower,22,6/1/1991,Sockeye,Weir closed on this date,Adult,,
Situk Lower,23,6/2/1991,Sockeye,Weir closed on this date,Adult,,
Situk Lower,23,6/3/1991,Sockeye,Weir closed on this date,Adult,,
Situk Lower,23,6/4/1991,Sockeye,Weir closed on this date,Adult,,
Situk Lower,23,6/5/1991,Sockeye,Weir closed on this date,Adult,,
Situk Lower,23,6/6/1991,Sockeye,Weir closed on this date,Adult,,
Situk Lower,23,6/7/1991,Sockeye,Weir closed on this date,Adult,,
Situk Lower,23,6/8/1991,Sockeye,Weir closed on this date,Adult,,
Situk Lower,24,6/9/1991,Sockeye,Weir closed on this date,Adult,,
Situk Lower,24,6/10/1991,Chinook,Counted live,L Jck,1,
Situk Lower,24,6/10/1991,Sockeye,Counted live,Adult,2,
Situk Lower,24,6/11/1991,Sockeye,Counted live,Adult,0,
Situk Lower,24,6/11/1991,Steelhead trout,Carcass count,Adult,1,
Situk Lower,24,6/11/1991,Steelhead trout,Downstream migration,Adult,2,
Situk Lower,24,6/12/1991,Sockeye,Counted live,Adult,3,
Situk Lower,24,6/12/1991,Steelhead trout,Carcass count,Adult,3,
Situk Lower,24,6/12/1991,Steelhead trout,Counted live,Adult,1,
Situk Lower,24,6/12/1991,Steelhead trout,Downstream migration,Adult,5,
Situk Lower,24,6/13/1991,Chinook,Counted live,Adult,4,
Situk Lower,24,6/13/1991,Chinook,Counted live,Jack,1,
Situk Lower,24,6/13/1991,Chinook,Counted live,L Jck,2,
Situk Lower,24,6/13/1991,Sockeye,Counted live,Adult,111,
Situk Lower,24,6/13/1991,Steelhead trout,Carcass count,Adult,2,
Situk Lower,24,6/13/1991,Steelhead trout,Counted live,Adult,4,
Situk Lower,24,6/13/1991,Steelhead trout,Downstream migration,Adult,231,
Situk Lower,24,6/14/1991,Steelhead trout,Carcass count,Adult,1,
Situk Lower,24,6/14/1991,Steelhead trout,Downstream migration,Adult,1,
Situk Lower,24,6/15/1991,Chinook,Counted live,Adult,3,
Situk Lower,24,6/15/1991,Sockeye,Counted live,Adult,170,
Situk Lower,24,6/15/1991,Steelhead trout,Carcass count,Adult,2,
Situk Lower,24,6/15/1991,Steelhead trout,Counted live,Adult,1,
Situk Lower,24,6/15/1991,Steelhead trout,Downstream migration,Adult,260,
Situk Lower,25,6/16/1991,Chinook,Counted live,Adult,2,
Situk Lower,25,6/16/1991,Sockeye,Counted live,Adult,11,
Situk Lower,25,6/16/1991,Steelhead trout,Carcass count,Adult,2,
Situk Lower,25,6/16/1991,Steelhead trout,Downstream migration,Adult,83,
Situk Lower,25,6/17/1991,Chinook,Counted live,Adult,1,1 NM large chinook
Situk Lower,25,6/17/1991,Steelhead trout,Carcass count,Adult,2,1 NM large chinook
Situk Lower,25,6/18/1991,Chinook,Counted live,Adult,2,
Situk Lower,25,6/18/1991,Steelhead trout,Carcass count,Adult,3,
Situk Lower,25,6/19/1991,Chinook,Counted live,Adult,9,1 NM chinook
Situk Lower,25,6/19/1991,Chinook,Counted live,L Jck,1,1 NM chinook
Situk Lower,25,6/19/1991,Sockeye,Counted live,Adult,1156,1 NM chinook
Situk Lower,25,6/19/1991,Steelhead trout,Carcass count,Adult,1,1 NM chinook
Situk Lower,25,6/19/1991,Steelhead trout,Counted live,Adult,1,1 NM chinook
Situk Lower,25,6/19/1991,Steelhead trout,Downstream migration,Adult,582,1 NM chinook
Situk Lower,25,6/20/1991,Chinook,Counted live,Adult,38,8 NM chinook
Situk Lower,25,6/20/1991,Chinook,Counted live,Jack,14,8 NM chinook
Situk Lower,25,6/20/1991,Chinook,Counted live,L Jck,2,8 NM chinook
Situk Lower,25,6/20/1991,Sockeye,Counted live,Adult,1486,8 NM chinook
Situk Lower,25,6/20/1991,Steelhead trout,Downstream migration,Adult,59,8 NM chinook
Situk Lower,25,6/21/1991,Chinook,Counted live,Adult,20,2 NM chinook
Situk Lower,25,6/21/1991,Chinook,Counted live,Jack,2,2 NM chinook
Situk Lower,25,6/21/1991,Chinook,Counted live,L Jck,5,2 NM chinook
Situk Lower,25,6/21/1991,Sockeye,Counted live,Adult,1726,2 NM chinook
Situk Lower,25,6/21/1991,Steelhead trout,Carcass count,Adult,3,2 NM chinook
Situk Lower,25,6/21/1991,Steelhead trout,Downstream migration,Adult,35,2 NM chinook
Situk Lower,25,6/22/1991,Chinook,Counted live,Adult,30,10 NM chinook
Situk Lower,25,6/22/1991,Chinook,Counted live,Jack,3,10 NM chinook
Situk Lower,25,6/22/1991,Chinook,Counted live,L Jck,14,10 NM chinook
Situk Lower,25,6/22/1991,Sockeye,Counted live,Adult,2967,10 NM chinook
Situk Lower,25,6/22/1991,Steelhead trout,Downstream migration,Adult,533,10 NM chinook
Situk Lower,26,6/23/1991,Chinook,Counted live,Adult,6,1 NM chinook
Situk Lower,26,6/23/1991,Chinook,Counted live,Jack,2,1 NM chinook
Situk Lower,26,6/23/1991,Sockeye,Counted live,Adult,123,1 NM chinook
Situk Lower,26,6/23/1991,Steelhead trout,Carcass count,Adult,3,1 NM chinook
Situk Lower,26,6/23/1991,Steelhead trout,Downstream migration,Adult,2,1 NM chinook
Situk Lower,26,6/24/1991,Chinook,Counted live,Adult,73,15 NM chinook
Situk Lower,26,6/24/1991,Chinook,Counted live,L Jck,5,15 NM chinook
Situk Lower,26,6/24/1991,Sockeye,Counted live,Adult,32,15 NM chinook
Situk Lower,26,6/24/1991,Steelhead trout,Downstream migration,Adult,3,15 NM chinook
Situk Lower,26,6/25/1991,Chinook,Counted live,Adult,85,18 NM chinook
Situk Lower,26,6/25/1991,Chinook,Counted live,Jack,16,18 NM chinook
Situk Lower,26,6/25/1991,Chinook,Counted live,L Jck,14,18 NM chinook
Situk Lower,26,6/25/1991,Sockeye,Counted live,Adult,1523,18 NM chinook
Situk Lower,26,6/25/1991,Steelhead trout,Carcass count,Adult,1,18 NM chinook
Situk Lower,26,6/25/1991,Steelhead trout,Downstream migration,Adult,20,18 NM chinook
Situk Lower,26,6/26/1991,Chinook,Counted live,Adult,24,8 NM chinook
Situk Lower,26,6/26/1991,Chinook,Counted live,Jack,2,8 NM chinook
Situk Lower,26,6/26/1991,Chinook,Counted live,L Jck,1,8 NM chinook
Situk Lower,26,6/26/1991,Sockeye,Counted live,Adult,203,8 NM chinook
Situk Lower,26,6/26/1991,Steelhead trout,Downstream migration,Adult,137,8 NM chinook
Situk Lower,26,6/27/1991,Chinook,Counted live,Adult,31,13 NM chinook
Situk Lower,26,6/27/1991,Chinook,Counted live,Jack,3,13 NM chinook
Situk Lower,26,6/27/1991,Chinook,Counted live,L Jck,5,13 NM chinook
Situk Lower,26,6/27/1991,Sockeye,Counted live,Adult,570,13 NM chinook
Situk Lower,26,6/27/1991,Steelhead trout,Carcass count,Adult,1,13 NM chinook
Situk Lower,26,6/27/1991,Steelhead trout,Downstream migration,Adult,130,13 NM chinook
Situk Lower,26,6/28/1991,Chinook,Counted live,Adult,29,9 NM chinook
Situk Lower,26,6/28/1991,Chinook,Counted live,Jack,4,9 NM chinook
Situk Lower,26,6/28/1991,Chinook,Counted live,L Jck,3,9 NM chinook
Situk Lower,26,6/28/1991,Sockeye,Counted live,Adult,2156,9 NM chinook
Situk Lower,26,6/28/1991,Steelhead trout,Downstream migration,Adult,68,9 NM chinook
Situk Lower,26,6/29/1991,Chinook,Counted live,Adult,92,52 NM chinook
Situk Lower,26,6/29/1991,Chinook,Counted live,Jack,12,52 NM chinook
Situk Lower,26,6/29/1991,Chinook,Counted live,L Jck,6,52 NM chinook
Situk Lower,26,6/29/1991,Sockeye,Counted live,Adult,3239,52 NM chinook
Situk Lower,26,6/29/1991,Steelhead trout,Downstream migration,Adult,149,52 NM chinook
Situk Lower,27,6/30/1991,Chinook,Counted live,Adult,51,16 NM chinook
Situk Lower,27,6/30/1991,Chinook,Counted live,Jack,15,16 NM chinook
Situk Lower,27,6/30/1991,Chinook,Counted live,L Jck,6,16 NM chinook
Situk Lower,27,6/30/1991,Sockeye,Counted live,Adult,4753,16 NM chinook
Situk Lower,27,6/30/1991,Steelhead trout,Downstream migration,Adult,8,16 NM chinook
Situk Lower,27,7/1/1991,Chinook,Counted live,Adult,26,8 NM chinook
Situk Lower,27,7/1/1991,Chinook,Counted live,Jack,5,8 NM chinook
Situk Lower,27,7/1/1991,Chinook,Counted live,L Jck,6,8 NM chinook
Situk Lower,27,7/1/1991,Sockeye,Counted live,Adult,2743,8 NM chinook
Situk Lower,27,7/1/1991,Steelhead trout,Carcass count,Adult,1,8 NM chinook
Situk Lower,27,7/1/1991,Steelhead trout,Downstream migration,Adult,10,8 NM chinook
Situk Lower,27,7/2/1991,Chinook,Counted live,Adult,34,12 NM chinook
Situk Lower,27,7/2/1991,Chinook,Counted live,Jack,5,12 NM chinook
Situk Lower,27,7/2/1991,Chinook,Counted live,L Jck,6,12 NM chinook
Situk Lower,27,7/2/1991,Sockeye,Counted live,Adult,2707,12 NM chinook
Situk Lower,27,7/2/1991,Steelhead trout,Carcass count,Adult,1,12 NM chinook
Situk Lower,27,7/2/1991,Steelhead trout,Downstream migration,Adult,4,12 NM chinook
Situk Lower,27,7/3/1991,Chinook,Counted live,Adult,114, 49 NM chinook
Situk Lower,27,7/3/1991,Chinook,Counted live,Jack,69, 49 NM chinook
Situk Lower,27,7/3/1991,Chinook,Counted live,L Jck,17, 49 NM chinook
Situk Lower,27,7/3/1991,Sockeye,Counted live,Adult,6045, 49 NM chinook
Situk Lower,27,7/3/1991,Steelhead trout,Downstream migration,Adult,26, 49 NM chinook
Situk Lower,27,7/4/1991,Chinook,Counted live,Adult,9,6 NM chinook
Situk Lower,27,7/4/1991,Chinook,Counted live,Jack,11,6 NM chinook
Situk Lower,27,7/4/1991,Chinook,Counted live,L Jck,2,6 NM chinook
Situk Lower,27,7/4/1991,Sockeye,Counted live,Adult,390,6 NM chinook
Situk Lower,27,7/4/1991,Steelhead trout,Downstream migration,Adult,7,6 NM chinook
Situk Lower,27,7/5/1991,Sockeye,Counted live,Adult,132,
Situk Lower,27,7/5/1991,Steelhead trout,Carcass count,Adult,6,
Situk Lower,27,7/6/1991,Chinook,Counted live,Adult,21,11 NM chinook
Situk Lower,27,7/6/1991,Chinook,Counted live,Jack,32,11 NM chinook
Situk Lower,27,7/6/1991,Chinook,Counted live,L Jck,2,11 NM chinook
Situk Lower,27,7/6/1991,Chinook,Downstream migration,Adult,1,11 NM chinook
Situk Lower,27,7/6/1991,Sockeye,Counted live,Adult,1171,11 NM chinook
Situk Lower,27,7/6/1991,Steelhead trout,Downstream migration,Adult,13,11 NM chinook
Situk Lower,28,7/7/1991,Chinook,Counted live,Adult,41,20 NM chinook
Situk Lower,28,7/7/1991,Chinook,Counted live,Jack,26,20 NM chinook
Situk Lower,28,7/7/1991,Chinook,Counted live,L Jck,2,20 NM chinook
Situk Lower,28,7/7/1991,Chinook,Downstream migration,Adult,1,20 NM chinook
Situk Lower,28,7/7/1991,Sockeye,Counted live,Adult,1334,20 NM chinook
Situk Lower,28,7/7/1991,Steelhead trout,Downstream migration,Adult,6,20 NM chinook
Situk Lower,28,7/8/1991,Chinook,Counted live,Adult,10,10 NM chinook
Situk Lower,28,7/8/1991,Chinook,Counted live,Jack,19,10 NM chinook
Situk Lower,28,7/8/1991,Chinook,Counted live,L Jck,5,10 NM chinook
Situk Lower,28,7/8/1991,Chinook,Weir mortalities,Adult,1,10 NM chinook
Situk Lower,28,7/8/1991,Sockeye,Counted live,Adult,833,10 NM chinook
Situk Lower,28,7/8/1991,Steelhead trout,Downstream migration,Adult,1,10 NM chinook
Situk Lower,28,7/9/1991,Chinook,Counted live,Adult,11,7 NM chinook
Situk Lower,28,7/9/1991,Chinook,Counted live,Jack,75,7 NM chinook
Situk Lower,28,7/9/1991,Chinook,Counted live,L Jck,5,7 NM chinook
Situk Lower,28,7/9/1991,Sockeye,Counted live,Adult,5578,7 NM chinook
Situk Lower,28,7/9/1991,Steelhead trout,Downstream migration,Adult,18,7 NM chinook
Situk Lower,28,7/10/1991,Chinook,Counted live,Adult,20,14 NM chinook
Situk Lower,28,7/10/1991,Chinook,Counted live,Jack,23,14 NM chinook
Situk Lower,28,7/10/1991,Chinook,Counted live,L Jck,3,14 NM chinook
Situk Lower,28,7/10/1991,Sockeye,Counted live,Adult,3682,14 NM chinook
Situk Lower,28,7/10/1991,Steelhead trout,Downstream migration,Adult,13,14 NM chinook
Situk Lower,28,7/11/1991,Chinook,Counted live,Adult,11,"Washout, 10/5/10 chinook up"
Situk Lower,28,7/11/1991,Chinook,Counted live,Jack,5,"Washout, 10/5/10 chinook up"
Situk Lower,28,7/11/1991,Pink,Counted live,Adult,2,"Washout, 10/5/10 chinook up"
Situk Lower,28,7/11/1991,Sockeye,Counted live,Adult,755,"Washout, 10/5/10 chinook up"
Situk Lower,28,7/11/1991,Sockeye,Estimated live,Adult,2000,"Washout, 10/5/10 chinook up"
Situk Lower,28,7/11/1991,Steelhead trout,Downstream migration,Adult,3,"Washout, 10/5/10 chinook up"
Situk Lower,28,7/12/1991,Chinook,Counted live,Adult,5,1 NM chinook
Situk Lower,28,7/12/1991,Chinook,Counted live,Jack,34,1 NM chinook
Situk Lower,28,7/12/1991,Chinook,Counted live,L Jck,1,1 NM chinook
Situk Lower,28,7/12/1991,Chinook,Weir mortalities,Adult,5,1 NM chinook
Situk Lower,28,7/12/1991,Pink,Counted live,Adult,1,1 NM chinook
Situk Lower,28,7/12/1991,Sockeye,Counted live,Adult,1233,1 NM chinook
Situk Lower,28,7/12/1991,Steelhead trout,Downstream migration,Adult,1,1 NM chinook
Situk Lower,28,7/13/1991,Chinook,Counted live,Adult,17,7 NM chinook
Situk Lower,28,7/13/1991,Chinook,Counted live,Jack,49,7 NM chinook
Situk Lower,28,7/13/1991,Pink,Counted live,Adult,10,7 NM chinook
Situk Lower,28,7/13/1991,Sockeye,Counted live,Adult,2907,7 NM chinook
Situk Lower,29,7/14/1991,Chinook,Counted live,Adult,6,1 NM chinook
Situk Lower,29,7/14/1991,Chinook,Counted live,Jack,39,1 NM chinook
Situk Lower,29,7/14/1991,Chinook,Counted live,L Jck,3,1 NM chinook
Situk Lower,29,7/14/1991,Pink,Counted live,Adult,52,1 NM chinook
Situk Lower,29,7/14/1991,Sockeye,Counted live,Adult,1979,1 NM chinook
Situk Lower,29,7/15/1991,Chinook,Counted live,Adult,10,4 NM chinook
Situk Lower,29,7/15/1991,Chinook,Counted live,Jack,21,4 NM chinook
Situk Lower,29,7/15/1991,Chinook,Counted live,L Jck,6,4 NM chinook
Situk Lower,29,7/15/1991,Pink,Counted live,Adult,51,4 NM chinook
Situk Lower,29,7/15/1991,Sockeye,Counted live,Adult,2595,4 NM chinook
Situk Lower,29,7/16/1991,Chinook,Counted live,Adult,9,2 NM chinook
Situk Lower,29,7/16/1991,Chinook,Counted live,Jack,11,2 NM chinook
Situk Lower,29,7/16/1991,Chinook,Counted live,L Jck,1,2 NM chinook
Situk Lower,29,7/16/1991,Pink,Counted live,Adult,19,2 NM chinook
Situk Lower,29,7/16/1991,Sockeye,Counted live,Adult,1562,2 NM chinook
Situk Lower,29,7/17/1991,Chinook,Counted live,Adult,12,3 NM chinook
Situk Lower,29,7/17/1991,Chinook,Counted live,Jack,23,3 NM chinook
Situk Lower,29,7/17/1991,Chinook,Counted live,L Jck,3,3 NM chinook
Situk Lower,29,7/17/1991,Chinook,Weir mortalities,Adult,1,3 NM chinook
Situk Lower,29,7/17/1991,Pink,Counted live,Adult,46,3 NM chinook
Situk Lower,29,7/17/1991,Sockeye,Counted live,Adult,2638,3 NM chinook
Situk Lower,29,7/17/1991,Steelhead trout,Downstream migration,Adult,5,3 NM chinook
Situk Lower,29,7/18/1991,Chinook,Counted live,Adult,11,5 NM chinook
Situk Lower,29,7/18/1991,Chinook,Counted live,Jack,7,5 NM chinook
Situk Lower,29,7/18/1991,Pink,Counted live,Adult,40,5 NM chinook
Situk Lower,29,7/18/1991,Sockeye,Counted live,Adult,1481,5 NM chinook
Situk Lower,29,7/19/1991,Chinook,Counted live,Adult,5,2 NM chinook
Situk Lower,29,7/19/1991,Chinook,Counted live,Jack,18,2 NM chinook
Situk Lower,29,7/19/1991,Chinook,Counted live,L Jck,2,2 NM chinook
Situk Lower,29,7/19/1991,Chinook,Weir mortalities,Adult,1,2 NM chinook
Situk Lower,29,7/19/1991,Pink,Counted live,Adult,82,2 NM chinook
Situk Lower,29,7/19/1991,Sockeye,Counted live,Adult,1894,2 NM chinook
Situk Lower,29,7/19/1991,Steelhead trout,Downstream migration,Adult,1,2 NM chinook
Situk Lower,29,7/20/1991,Chinook,Counted live,Adult,4,"1 NM chinook, 5 NM SH mort"
Situk Lower,29,7/20/1991,Chinook,Counted live,Jack,13,"1 NM chinook, 5 NM SH mort"
Situk Lower,29,7/20/1991,Chum,Counted live,Adult,1,"1 NM chinook, 5 NM SH mort"
Situk Lower,29,7/20/1991,Pink,Counted live,Adult,283,"1 NM chinook, 5 NM SH mort"
Situk Lower,29,7/20/1991,Sockeye,Counted live,Adult,911,"1 NM chinook, 5 NM SH mort"
Situk Lower,30,7/21/1991,Chinook,Counted live,Adult,15,10 NM chinook
Situk Lower,30,7/21/1991,Chinook,Counted live,Jack,19,10 NM chinook
Situk Lower,30,7/21/1991,Chinook,Counted live,L Jck,1,10 NM chinook
Situk Lower,30,7/21/1991,Pink,Counted live,Adult,600,10 NM chinook
Situk Lower,30,7/21/1991,Sockeye,Counted live,Adult,2587,10 NM chinook
Situk Lower,30,7/21/1991,Steelhead trout,Downstream migration,Adult,2,10 NM chinook
Situk Lower,30,7/22/1991,Chinook,Counted live,Adult,4,2 NM chinook
Situk Lower,30,7/22/1991,Chinook,Counted live,Jack,3,2 NM chinook
Situk Lower,30,7/22/1991,Chinook,Weir mortalities,Adult,1,2 NM chinook
Situk Lower,30,7/22/1991,Pink,Counted live,Adult,228,2 NM chinook
Situk Lower,30,7/22/1991,Sockeye,Counted live,Adult,641,2 NM chinook
Situk Lower,30,7/23/1991,Chinook,Counted live,Adult,1,
Situk Lower,30,7/23/1991,Pink,Counted live,Adult,100,
Situk Lower,30,7/23/1991,Sockeye,Counted live,Adult,229,
Situk Lower,30,7/23/1991,Sockeye,Weir mortalities,Adult,2,
Situk Lower,30,7/24/1991,Pink,Estimated live,Adult,500,"Pickets pulled, numbers estimated"
Situk Lower,30,7/24/1991,Sockeye,Estimated live,Adult,500,"Pickets pulled, numbers estimated"
Situk Lower,30,7/25/1991,Chinook,Counted live,Jack,1,Fish tight at 1:00 PM
Situk Lower,30,7/25/1991,Pink,Counted live,Adult,26,Fish tight at 1:00 PM
Situk Lower,30,7/25/1991,Sockeye,Counted live,Adult,101,Fish tight at 1:00 PM
Situk Lower,30,7/26/1991,Chinook,Counted live,Jack,2,
Situk Lower,30,7/26/1991,Chinook,Counted live,L Jck,2,
Situk Lower,30,7/26/1991,Chum,Counted live,Adult,2,
Situk Lower,30,7/26/1991,Pink,Counted live,Adult,1190,
Situk Lower,30,7/26/1991,Sockeye,Counted live,Adult,578,
Situk Lower,30,7/27/1991,Chinook,Counted live,Adult,1,"Weir washout in flood, not replaced"
Situk Lower,30,7/27/1991,Pink,Counted live,Adult,938,"Weir washout in flood, not replaced"
Situk Lower,30,7/27/1991,Sockeye,Counted live,Adult,300,"Weir washout in flood, not replaced"
Situk Lower,16,4/18/1992,Steelhead trout,Counted live,Adult,7,Fish tight
Situk Lower,17,4/19/1992,Steelhead trout,Counted live,Adult,36,
Situk Lower,17,4/20/1992,Steelhead trout,Counted live,Adult,77,
Situk Lower,17,4/21/1992,Steelhead trout,Counted live,Adult,34,
Situk Lower,17,4/22/1992,Steelhead trout,Counted live,Adult,44,
Situk Lower,17,4/23/1992,Steelhead trout,Counted live,Adult,2,
Situk Lower,17,4/24/1992,Steelhead trout,Counted live,Adult,73,
Situk Lower,17,4/25/1992,Steelhead trout,Counted live,Adult,39,
Situk Lower,18,4/26/1992,Steelhead trout,Counted live,Adult,45,
Situk Lower,18,4/26/1992,Steelhead trout,Downstream migration,Adult,1,
Situk Lower,18,4/27/1992,Steelhead trout,Counted live,Adult,36,
Situk Lower,18,4/28/1992,Steelhead trout,Counted live,Adult,75,
Situk Lower,18,4/28/1992,Steelhead trout,Downstream migration,Adult,4,
Situk Lower,18,4/29/1992,Steelhead trout,Counted live,Adult,97,
Situk Lower,18,4/30/1992,Steelhead trout,Counted live,Adult,4,
Situk Lower,18,5/1/1992,Steelhead trout,Counted live,Adult,54,
Situk Lower,18,5/1/1992,Steelhead trout,Downstream migration,Adult,7,
Situk Lower,18,5/2/1992,Steelhead trout,Counted live,Adult,75,
Situk Lower,18,5/2/1992,Steelhead trout,Downstream migration,Adult,10,
Situk Lower,19,5/3/1992,Steelhead trout,Counted live,Adult,131,
Situk Lower,19,5/3/1992,Steelhead trout,Downstream migration,Adult,5,
Situk Lower,19,5/4/1992,Sockeye,Weir closed on this date,Adult,,
Situk Lower,19,5/5/1992,Sockeye,Weir closed on this date,Adult,,
Situk Lower,19,5/6/1992,Sockeye,Weir closed on this date,Adult,,
Situk Lower,19,5/7/1992,Sockeye,Weir closed on this date,Adult,,
Situk Lower,19,5/8/1992,Sockeye,Weir closed on this date,Adult,,
Situk Lower,19,5/9/1992,Sockeye,Weir closed on this date,Adult,,
Situk Lower,20,5/10/1992,Sockeye,Weir closed on this date,Adult,,
Situk Lower,20,5/11/1992,Sockeye,Weir closed on this date,Adult,,
Situk Lower,20,5/12/1992,Sockeye,Weir closed on this date,Adult,,
Situk Lower,20,5/13/1992,Sockeye,Weir closed on this date,Adult,,
Situk Lower,20,5/14/1992,Sockeye,Weir closed on this date,Adult,,
Situk Lower,20,5/15/1992,Sockeye,Weir closed on this date,Adult,,
Situk Lower,20,5/16/1992,Steelhead trout,Downstream migration,Adult,4,
Situk Lower,21,5/17/1992,Steelhead trout,Counted live,Adult,2,
Situk Lower,21,5/17/1992,Steelhead trout,Downstream migration,Adult,6,
Situk Lower,21,5/18/1992,Steelhead trout,Counted live,Adult,25,
Situk Lower,21,5/18/1992,Steelhead trout,Downstream migration,Adult,41,
Situk Lower,21,5/19/1992,Steelhead trout,Counted live,Adult,4,
Situk Lower,21,5/19/1992,Steelhead trout,Downstream migration,Adult,18,
Situk Lower,21,5/20/1992,Steelhead trout,Counted live,Adult,13,
Situk Lower,21,5/20/1992,Steelhead trout,Downstream migration,Adult,59,
Situk Lower,21,5/21/1992,Steelhead trout,Counted live,Adult,16,
Situk Lower,21,5/21/1992,Steelhead trout,Downstream migration,Adult,53,
Situk Lower,21,5/22/1992,Steelhead trout,Counted live,Adult,16,
Situk Lower,21,5/22/1992,Steelhead trout,Downstream migration,Adult,82,
Situk Lower,21,5/23/1992,Steelhead trout,Counted live,Adult,11,
Situk Lower,21,5/23/1992,Steelhead trout,Downstream migration,Adult,37,
Situk Lower,22,5/24/1992,Steelhead trout,Counted live,Adult,30,
Situk Lower,22,5/24/1992,Steelhead trout,Downstream migration,Adult,133,
Situk Lower,22,5/25/1992,Steelhead trout,Counted live,Adult,11,
Situk Lower,22,5/25/1992,Steelhead trout,Downstream migration,Adult,37,
Situk Lower,22,5/26/1992,Steelhead trout,Counted live,Adult,8,
Situk Lower,22,5/26/1992,Steelhead trout,Downstream migration,Adult,240,
Situk Lower,22,5/27/1992,Steelhead trout,Counted live,Adult,9,
Situk Lower,22,5/27/1992,Steelhead trout,Downstream migration,Adult,97,
Situk Lower,22,5/28/1992,Chinook,Counted live,Adult,2,
Situk Lower,22,5/28/1992,Sockeye,Counted live,Adult,4,
Situk Lower,22,5/28/1992,Steelhead trout,Counted live,Adult,20,
Situk Lower,22,5/28/1992,Steelhead trout,Downstream migration,Adult,79,
Situk Lower,22,5/29/1992,Chinook,Counted live,Adult,3,
Situk Lower,22,5/29/1992,Sockeye,Counted live,Adult,5,
Situk Lower,22,5/29/1992,Steelhead trout,Counted live,Adult,14,
Situk Lower,22,5/29/1992,Steelhead trout,Downstream migration,Adult,174,
Situk Lower,22,5/30/1992,Chinook,Counted live,Adult,1,
Situk Lower,22,5/30/1992,Sockeye,Counted live,Adult,14,
Situk Lower,22,5/30/1992,Steelhead trout,Counted live,Adult,9,
Situk Lower,22,5/30/1992,Steelhead trout,Downstream migration,Adult,262,
Situk Lower,23,5/31/1992,Chinook,Counted live,Adult,1,
Situk Lower,23,5/31/1992,Sockeye,Counted live,Adult,2,
Situk Lower,23,5/31/1992,Steelhead trout,Counted live,Adult,7,
Situk Lower,23,5/31/1992,Steelhead trout,Downstream migration,Adult,40,
Situk Lower,23,6/1/1992,Sockeye,Counted live,Adult,2,
Situk Lower,23,6/1/1992,Steelhead trout,Downstream migration,Adult,155,
Situk Lower,23,6/2/1992,Chinook,Counted live,Adult,2,
Situk Lower,23,6/2/1992,Sockeye,Counted live,Adult,4,
Situk Lower,23,6/2/1992,Steelhead trout,Downstream migration,Adult,106,
Situk Lower,23,6/3/1992,Chinook,Counted live,Adult,1,
Situk Lower,23,6/3/1992,Chinook,Counted live,L Jck,5,
Situk Lower,23,6/3/1992,Sockeye,Counted live,Adult,6,
Situk Lower,23,6/3/1992,Steelhead trout,Downstream migration,Adult,104,
Situk Lower,23,6/4/1992,Chinook,Counted live,Adult,6,
Situk Lower,23,6/4/1992,Sockeye,Counted live,Adult,7,
Situk Lower,23,6/4/1992,Steelhead trout,Counted live,Adult,10,
Situk Lower,23,6/4/1992,Steelhead trout,Downstream migration,Adult,100,
Situk Lower,23,6/5/1992,Chinook,Counted live,Adult,3,
Situk Lower,23,6/5/1992,Sockeye,Counted live,Adult,21,
Situk Lower,23,6/5/1992,Steelhead trout,Counted live,Adult,5,
Situk Lower,23,6/5/1992,Steelhead trout,Downstream migration,Adult,55,
Situk Lower,23,6/6/1992,Chinook,Counted live,Adult,7,
Situk Lower,23,6/6/1992,Chinook,Counted live,Jack,1,
Situk Lower,23,6/6/1992,Chinook,Counted live,L Jck,3,
Situk Lower,23,6/6/1992,Sockeye,Counted live,Adult,17,
